temperature,rainfall,ph,turbidity,dissolved_oxygen,nitrate,lead,bacterial_count,clean_water_percentage,sanitation_level,healthcare_access,symptom_diarrhea,symptom_fever,water_dirty,water_scarcity,outbreak_risk
23.86,144.34,7.6,160,6.43,22.71,0.11,649,99.2,39.01,82.89,0,0,0,0,1
39.01,178.69,7.41,418,6.19,46.48,0.166,235,52.68,93.96,99.18,1,1,0,0,1
43.16,216.48,6.14,348,3.68,39.76,0.04,797,86.01,26.78,31.21,1,1,1,1,2
27.9,176.49,8.05,327,7.27,18.85,0.093,421,63.18,49.49,61.97,0,0,0,0,1
33.3,19.99,6.69,38,3.4,46.99,0.126,967,75.5,25.01,89.08,0,1,1,0,2
34.33,299.31,8.26,484,11.34,7.16,0.041,833,81.0,88.91,40.79,1,0,0,0,1
41.16,38.25,7.19,156,8.48,24.32,0.082,684,77.6,67.7,72.46,1,1,0,0,1
28.64,54.48,8.73,37,4.73,21.18,0.058,362,32.27,62.76,55.53,0,0,0,1,2
41.8,279.64,7.7,323,11.48,1.15,0.13,603,49.95,16.2,16.96,1,1,0,1,2
42.77,36.84,6.71,345,12.07,6.23,0.184,830,44.92,30.47,64.71,0,0,0,0,2
25.14,236.34,7.81,290,6.78,26.87,0.184,385,57.26,53.28,92.66,1,0,0,1,1
42.82,74.47,7.73,179,7.03,45.74,0.072,62,42.21,29.81,29.14,0,0,0,1,2
31.47,167.19,8.58,62,13.96,25.11,0.119,140,51.79,48.41,81.98,1,1,1,0,2
35.62,113.32,8.51,18,2.79,38.78,0.091,193,62.76,53.3,54.73,0,0,1,0,1
28.36,22.65,8.26,265,5.25,32.2,0.082,86,98.31,85.58,88.03,1,0,0,0,1
26.35,58.83,7.52,327,3.25,40.0,0.036,608,64.54,74.87,82.48,1,1,1,1,2
40.17,288.79,8.83,181,4.46,14.66,0.179,6,70.66,76.23,86.33,1,0,0,1,2
36.07,211.18,8.73,196,6.1,12.97,0.076,470,22.74,84.76,41.07,1,1,0,1,2
41.53,65.85,8.92,363,3.68,43.42,0.097,726,83.99,48.27,12.02,1,0,1,1,2
35.84,77.37,6.42,234,7.06,6.61,0.18,609,41.78,11.66,92.29,0,1,1,0,2
26.85,166.25,7.95,377,10.64,5.33,0.028,26,92.0,88.65,63.77,1,0,0,0,0
24.38,274.32,7.26,475,11.25,21.1,0.071,821,79.04,17.45,64.28,1,0,0,0,2
27.22,106.7,8.16,294,9.32,47.47,0.079,663,94.95,75.93,29.34,1,0,1,0,2
34.88,15.43,7.49,364,3.86,31.17,0.095,72,26.01,75.54,54.59,0,1,1,0,2
26.16,245.73,8.4,171,13.61,0.26,0.021,612,27.33,92.56,22.31,1,0,0,0,1
24.63,162.57,8.62,263,9.67,37.95,0.145,975,87.94,32.47,54.05,0,0,1,0,2
43.6,11.83,8.12,198,13.99,27.79,0.095,390,22.72,72.77,36.76,1,1,1,0,2
43.61,142.26,8.59,422,7.46,26.12,0.129,525,67.7,30.7,20.85,1,0,0,0,2
28.5,217.43,6.2,14,11.65,26.92,0.132,396,70.07,89.74,65.43,1,1,0,0,1
41.75,6.38,8.62,140,6.61,46.63,0.014,813,48.06,79.05,46.17,0,1,0,1,2
41.84,295.23,8.3,408,6.04,26.13,0.146,688,28.84,41.92,35.85,1,1,1,0,2
21.05,5.36,8.96,72,3.31,19.58,0.025,186,96.0,80.77,18.05,1,0,1,0,2
43.62,140.22,7.84,152,10.92,3.25,0.08,860,71.97,64.7,56.14,1,0,1,0,2
25.51,55.93,8.34,261,11.61,31.49,0.043,520,94.22,99.54,25.65,1,0,1,1,2
37.4,46.17,8.45,485,9.48,37.39,0.007,579,66.41,18.23,88.97,0,0,1,0,1
42.22,286.7,8.59,8,5.95,46.58,0.147,225,52.68,43.54,33.38,0,1,1,1,2
22.03,66.05,8.05,452,13.9,3.08,0.177,317,67.39,84.22,41.3,1,1,0,0,1
26.68,263.59,8.39,167,4.94,7.87,0.032,780,86.96,72.77,71.21,0,0,1,1,2
23.97,264.26,8.62,498,12.55,0.26,0.164,436,79.48,24.47,83.62,1,0,0,1,2
20.16,86.11,7.85,112,8.72,5.79,0.075,447,63.2,80.19,19.63,1,0,1,0,2
44.07,102.56,7.9,221,11.04,39.44,0.035,483,25.43,37.09,73.74,1,0,1,1,2
28.65,186.27,6.14,305,13.88,33.8,0.089,762,30.41,78.24,12.21,0,0,1,0,2
32.22,231.12,8.05,25,3.91,23.43,0.189,98,56.11,24.73,81.53,0,0,1,1,2
22.06,204.15,7.96,26,12.42,48.16,0.006,988,95.49,47.78,67.47,1,0,0,0,1
44.6,122.8,8.68,14,10.95,10.02,0.174,791,49.48,87.79,52.59,1,1,1,0,2
41.72,232.98,8.31,173,8.36,0.89,0.159,939,22.6,92.88,65.5,1,0,0,1,2
22.93,37.56,8.06,227,8.7,11.28,0.032,725,66.56,34.21,81.78,0,1,0,0,1
20.29,21.73,7.18,365,13.7,36.09,0.131,728,88.81,80.19,13.57,1,0,1,0,2
26.05,296.0,6.43,79,7.79,10.52,0.069,935,20.78,39.38,56.59,0,0,0,1,2
20.83,23.57,7.19,193,13.73,10.04,0.139,142,36.01,25.07,19.41,0,0,0,0,1
20.79,280.86,6.16,415,5.59,46.76,0.189,859,84.14,40.55,83.33,0,0,1,1,2
33.69,245.19,7.36,2,2.49,8.2,0.088,977,24.83,32.24,24.36,0,0,1,0,2
44.4,101.07,6.55,118,7.2,2.18,0.032,965,77.54,30.56,99.67,0,0,0,1,1
24.99,204.07,6.22,446,4.44,42.02,0.035,724,78.17,76.84,48.29,1,1,1,1,2
44.69,12.03,8.6,95,9.06,1.47,0.079,739,89.87,91.06,47.95,1,0,0,1,2
42.81,63.2,7.87,39,12.03,11.79,0.155,99,92.72,26.17,31.38,1,1,0,0,1
41.36,147.68,6.74,315,6.86,29.65,0.116,83,67.44,24.72,45.2,0,1,1,0,2
36.42,97.56,8.32,439,6.76,11.85,0.047,9,25.88,25.28,56.78,1,1,1,0,2
30.77,74.61,7.85,0,5.03,17.96,0.076,106,78.91,69.74,52.72,0,1,1,1,1
34.63,260.48,6.62,444,2.41,49.33,0.025,292,94.93,13.54,20.99,1,0,0,0,2
27.9,152.17,6.12,489,6.77,23.99,0.137,125,96.14,67.52,88.11,0,1,0,0,1
32.22,200.06,6.42,383,3.59,7.18,0.188,891,73.87,97.29,18.45,1,0,1,1,2
41.7,53.14,8.08,310,13.74,18.71,0.004,977,69.43,88.2,61.35,1,0,1,0,2
37.24,202.95,6.65,463,11.92,33.35,0.115,957,72.63,99.95,14.34,0,0,0,0,1
41.77,234.72,7.7,488,3.31,32.53,0.153,643,73.41,82.71,78.61,0,0,0,0,1
40.45,36.06,7.63,88,5.94,31.51,0.122,142,75.64,44.97,50.38,0,1,0,0,0
25.68,21.96,7.81,109,9.71,37.97,0.1,84,89.07,56.72,53.13,0,0,1,0,0
29.5,119.65,7.74,299,7.72,19.72,0.11,813,77.45,96.0,11.64,0,0,0,1,1
36.19,269.41,6.73,202,6.56,9.86,0.096,786,28.11,53.73,33.11,1,1,0,0,2
40.08,161.75,6.93,419,10.61,20.0,0.195,89,29.75,26.3,71.3,1,0,0,0,2
37.73,32.06,7.7,297,13.01,21.23,0.017,821,64.02,13.91,66.98,0,0,0,1,1
40.48,265.26,6.68,8,9.76,8.74,0.072,681,92.0,41.81,31.32,0,1,1,1,2
40.57,127.12,8.0,145,11.2,7.49,0.085,580,33.44,76.32,87.65,0,0,0,1,1
20.59,192.59,7.82,159,9.66,12.84,0.126,440,59.74,98.9,22.28,0,1,0,1,1
30.7,215.28,8.08,486,6.09,40.94,0.121,101,66.27,34.67,17.15,1,0,0,1,2
24.8,97.01,6.68,424,9.41,22.12,0.166,955,84.03,31.03,58.6,1,1,1,0,2
33.32,97.3,7.0,325,2.63,18.92,0.073,802,78.45,51.87,15.41,1,1,1,0,2
24.38,207.0,6.6,207,6.91,21.13,0.164,11,47.81,69.84,81.59,1,1,0,0,1
29.98,45.72,8.98,359,11.22,12.18,0.134,83,69.89,18.02,77.97,0,0,1,1,2
39.55,212.62,6.11,480,4.73,17.08,0.076,769,94.96,59.84,37.5,1,1,0,1,2
35.01,154.7,8.76,426,8.9,28.33,0.078,11,94.45,20.47,83.57,0,1,1,1,2
41.7,241.78,8.37,435,11.82,16.13,0.005,858,75.6,41.15,97.8,1,1,0,1,2
23.31,258.6,8.77,269,3.67,44.91,0.166,435,60.21,45.88,23.17,0,1,1,0,2
20.65,40.55,8.89,443,11.32,6.1,0.119,542,60.49,49.56,19.51,1,1,0,0,2
35.49,195.06,6.46,498,8.77,9.59,0.042,381,99.59,15.2,72.55,0,0,0,0,1
23.56,36.42,6.91,370,4.13,34.58,0.124,771,99.74,83.26,65.37,1,0,1,1,2
33.18,127.83,6.39,115,6.86,32.7,0.071,154,53.13,84.48,76.03,1,0,1,0,1
30.4,144.4,6.06,78,8.99,34.05,0.038,900,37.22,11.09,31.71,0,0,1,0,2
43.99,146.36,6.33,187,9.75,24.97,0.053,628,59.06,23.5,39.22,1,1,1,0,2
29.4,118.34,7.38,20,13.47,6.66,0.02,119,45.23,71.93,49.38,0,0,1,1,1
20.96,270.53,7.38,202,7.95,19.32,0.09,944,69.11,16.0,56.66,0,0,1,1,2
32.81,204.07,6.13,86,10.6,3.6,0.014,663,22.85,55.77,44.88,0,1,1,0,2
44.27,282.69,8.35,50,4.09,4.92,0.132,351,25.5,48.19,17.44,1,1,0,0,2
39.56,68.35,8.93,462,4.47,6.07,0.123,589,25.54,96.38,53.04,0,1,1,0,2
23.13,142.3,6.34,268,8.99,37.4,0.162,891,32.53,13.94,19.97,1,0,0,0,2
29.4,165.03,7.17,113,13.32,12.03,0.024,287,59.68,11.14,99.32,1,1,1,0,1
41.98,77.53,7.63,148,11.06,23.03,0.168,359,64.63,26.25,14.85,1,1,1,0,2
26.73,161.87,8.18,257,3.58,36.3,0.164,606,59.07,23.56,40.81,1,0,0,0,2
38.59,183.58,6.32,22,10.27,43.67,0.127,127,54.7,24.48,60.22,1,0,1,0,2
42.04,83.37,6.58,319,11.6,10.2,0.111,895,85.21,65.35,71.91,1,0,0,1,2
33.1,254.41,8.52,11,10.95,10.12,0.192,376,74.27,78.06,85.78,1,1,0,0,1
23.12,115.61,7.93,393,12.63,29.65,0.078,468,20.15,26.05,12.62,1,1,1,0,2
29.69,120.7,8.62,220,9.71,3.24,0.116,54,76.24,14.75,53.79,1,1,0,0,2
20.57,96.63,7.91,210,2.7,16.71,0.157,997,36.79,84.26,56.83,0,1,1,0,2
38.39,70.76,7.11,112,9.18,36.78,0.2,117,71.41,47.91,67.26,1,0,0,0,0
30.25,251.94,7.15,136,13.4,10.15,0.113,137,46.76,12.36,12.18,1,1,0,1,2
32.95,89.62,8.82,425,12.23,11.28,0.075,831,34.89,82.24,51.24,0,1,1,1,2
22.02,218.38,7.49,128,11.36,0.35,0.011,685,68.82,22.18,77.62,1,0,1,0,1
21.72,17.12,6.85,219,5.31,13.78,0.157,905,41.76,78.35,50.48,0,1,1,0,2
32.19,10.08,6.19,249,8.74,17.3,0.063,986,47.79,90.99,11.96,1,0,1,1,2
34.0,281.05,6.16,491,11.45,31.22,0.099,20,40.52,68.88,27.83,1,0,0,0,2
44.3,182.56,7.05,424,2.26,36.0,0.084,326,74.7,59.06,98.25,0,1,1,1,2
33.56,237.51,7.65,97,2.98,22.92,0.097,852,31.28,69.78,29.45,1,1,1,1,2
31.5,224.79,6.87,494,8.15,40.32,0.092,703,83.52,54.75,40.58,0,1,1,0,2
38.96,226.23,6.05,231,12.53,43.98,0.174,922,95.73,60.42,77.57,0,0,1,0,2
22.35,103.1,6.85,41,7.97,5.27,0.131,600,51.79,18.41,49.7,0,1,1,1,2
22.35,107.0,8.27,484,9.61,39.9,0.079,943,91.76,56.82,50.28,1,1,1,0,2
35.34,108.93,8.69,362,13.8,7.04,0.04,519,91.52,68.89,23.69,1,1,1,1,2
22.09,264.72,8.41,301,5.84,49.42,0.097,532,78.01,39.07,99.74,1,0,0,0,2
23.25,206.06,6.28,195,10.63,44.51,0.016,644,97.88,40.32,36.68,1,1,1,0,2
38.99,296.42,8.7,363,7.51,17.89,0.099,130,90.39,57.29,31.99,1,1,1,1,2
37.98,126.04,8.72,306,7.4,37.44,0.13,175,66.18,76.43,82.56,1,0,0,0,1
20.78,221.79,6.32,482,10.24,3.48,0.035,200,72.42,99.26,16.54,1,0,0,1,1
41.66,64.66,7.08,20,2.4,15.2,0.131,653,92.29,30.95,82.67,1,0,0,1,2
36.27,262.27,6.0,442,3.33,22.35,0.092,611,50.53,21.6,47.15,0,1,0,1,2
20.45,126.43,6.08,101,5.36,42.92,0.058,946,86.08,72.94,85.55,0,0,1,0,2
33.98,188.47,7.6,274,12.47,5.63,0.141,828,25.47,33.7,14.15,0,1,1,0,2
40.61,22.27,6.68,333,10.92,2.41,0.181,775,90.18,39.74,40.64,1,0,0,0,2
33.28,251.45,6.86,267,8.99,49.77,0.171,766,72.71,32.71,29.82,1,0,0,0,2
33.13,9.79,8.61,481,12.55,28.59,0.103,430,26.58,91.96,51.8,0,0,0,1,2
24.12,51.17,8.84,37,9.1,35.13,0.047,454,30.54,31.08,80.81,0,1,1,1,2
26.79,141.87,8.95,71,9.61,3.55,0.051,912,23.18,64.37,91.66,0,1,1,0,2
31.26,141.89,7.87,141,9.33,14.03,0.041,652,62.96,86.87,14.45,1,0,1,1,1
27.12,138.86,7.32,191,8.15,14.67,0.186,776,85.33,35.61,83.64,0,0,0,0,1
34.37,8.9,8.03,493,13.91,6.57,0.055,0,51.19,75.69,89.4,0,0,0,1,1
36.87,89.02,8.16,475,11.85,0.08,0.127,342,77.41,84.66,13.65,1,1,1,1,2
36.63,240.11,7.99,484,3.45,20.95,0.15,736,52.34,38.9,77.49,1,0,0,0,2
36.16,266.41,7.8,397,9.63,45.66,0.123,539,33.75,67.41,76.69,0,1,0,1,2
44.78,246.0,8.08,267,5.54,24.3,0.115,985,92.81,82.72,29.44,0,0,1,0,2
21.68,116.22,8.56,419,10.08,13.77,0.061,633,67.22,30.37,44.58,0,1,1,0,2
38.98,29.66,8.67,159,6.45,30.05,0.141,928,62.07,56.05,24.91,0,1,0,1,2
39.05,283.99,7.02,201,9.75,31.85,0.068,478,83.34,63.64,19.11,1,0,1,1,2
41.04,174.07,7.68,30,10.26,7.03,0.097,375,98.2,57.87,22.22,1,0,1,1,1
43.14,124.25,7.19,261,11.07,22.93,0.058,484,86.84,43.34,43.73,0,0,1,1,1
44.87,163.61,6.26,58,13.53,19.47,0.077,277,63.31,23.87,59.83,1,0,1,0,2
40.84,132.13,6.91,415,10.51,8.86,0.101,382,41.62,96.98,60.19,0,0,1,0,1
23.48,133.21,7.88,138,4.49,39.12,0.147,849,69.87,61.24,65.86,0,0,0,1,1
20.99,142.66,7.63,146,3.59,29.65,0.12,821,62.67,88.3,21.76,0,0,1,0,2
39.86,82.73,8.63,11,13.64,47.46,0.103,619,58.67,87.72,62.99,1,1,1,0,2
25.08,228.54,7.16,202,13.02,18.11,0.145,948,98.46,46.68,84.48,0,0,1,0,1
43.9,60.14,6.33,115,2.04,32.01,0.06,839,25.0,89.51,50.35,0,0,1,0,2
43.16,5.73,7.43,348,2.37,43.6,0.105,319,43.95,42.28,82.4,1,0,1,1,2
43.94,2.66,8.99,263,13.94,4.49,0.0,578,79.03,85.07,76.64,0,0,1,1,1
39.22,197.56,8.3,163,10.4,5.22,0.08,801,26.21,46.68,46.64,1,0,0,1,2
22.77,242.47,8.84,289,2.07,5.05,0.174,65,26.15,55.06,81.51,1,1,1,1,2
21.82,120.86,6.89,289,5.37,40.17,0.186,893,41.29,11.98,62.49,0,0,0,0,2
25.48,10.1,6.64,274,9.77,6.15,0.178,22,89.35,50.86,83.93,1,1,1,1,2
33.16,138.95,6.7,52,11.65,27.63,0.104,204,93.34,74.86,46.13,0,1,1,1,1
40.59,216.52,6.81,48,5.81,0.01,0.102,153,77.2,63.41,90.62,1,1,1,0,1
28.51,282.13,6.25,155,3.22,18.01,0.054,922,89.32,61.46,91.65,0,0,0,0,2
29.43,280.9,8.03,400,10.24,24.69,0.078,986,87.54,70.83,22.52,0,0,0,0,1
24.57,83.53,6.39,451,10.43,14.9,0.021,978,70.75,99.95,19.43,1,1,0,1,2
41.65,142.79,6.33,255,6.42,18.49,0.01,12,53.32,84.0,86.53,1,0,0,1,1
31.81,264.05,6.65,108,11.05,1.8,0.079,775,72.13,76.47,38.41,1,1,0,1,2
37.83,59.76,8.67,251,2.52,33.34,0.165,53,61.27,34.08,85.19,1,0,0,1,2
28.43,5.8,6.37,137,2.38,36.81,0.066,779,67.61,10.89,51.77,1,1,1,1,2
36.94,93.56,8.32,174,4.64,6.58,0.171,501,21.36,79.31,82.64,1,0,1,0,2
20.44,87.99,8.32,441,4.68,32.09,0.114,719,43.98,68.18,97.68,0,0,0,1,2
42.46,234.96,8.34,455,4.49,7.62,0.18,924,38.26,32.19,53.57,0,1,0,1,2
21.45,287.34,8.83,132,8.37,32.55,0.129,799,26.05,42.91,30.28,1,0,1,0,2
35.56,234.4,7.73,266,13.78,26.36,0.181,862,73.93,33.39,41.07,1,1,1,1,2
31.75,267.04,8.12,241,10.28,46.53,0.099,360,55.81,22.08,96.21,0,1,0,1,1
32.52,203.89,6.23,293,13.14,38.04,0.109,301,54.63,13.95,24.92,0,1,1,0,2
21.25,253.09,8.94,332,8.33,19.59,0.132,680,35.75,95.63,99.53,1,0,1,1,2
34.24,77.86,7.31,18,4.11,10.7,0.003,389,35.21,81.33,91.71,1,0,0,0,1
33.04,293.19,8.27,140,12.25,38.65,0.062,605,71.25,69.99,24.64,1,1,1,0,2
32.47,3.63,6.03,100,6.52,27.6,0.161,980,37.77,38.95,86.32,1,1,0,1,2
30.72,8.75,7.44,140,2.01,45.07,0.031,246,93.56,99.39,14.04,0,0,0,0,0
29.81,226.28,8.76,112,7.33,13.78,0.124,684,40.08,60.77,42.27,1,0,1,0,2
24.79,275.47,6.31,265,12.08,37.59,0.046,192,34.02,88.01,35.42,0,1,0,1,1
30.92,174.03,7.55,281,12.08,7.19,0.086,326,87.67,46.08,78.68,0,1,1,0,1
33.61,61.34,6.77,367,5.98,42.75,0.041,504,49.15,36.57,89.15,0,0,0,1,2
40.67,14.29,8.18,476,11.25,32.73,0.03,952,57.06,14.09,36.1,0,0,0,1,2
33.67,159.61,7.77,187,8.27,2.73,0.195,390,36.29,10.91,49.37,1,0,1,0,2
24.78,93.03,8.2,419,10.9,42.42,0.085,305,91.68,83.62,32.75,0,1,0,1,1
28.42,299.86,7.22,15,11.05,19.66,0.118,752,50.46,47.3,77.84,1,0,1,0,2
32.94,80.65,7.89,213,5.18,30.08,0.059,152,30.4,60.41,80.27,0,0,0,1,1
44.31,134.64,6.48,270,10.57,23.09,0.184,406,30.01,86.54,41.01,1,0,0,0,2
23.55,64.02,8.0,244,12.28,35.06,0.145,174,54.83,59.44,38.08,1,0,1,1,2
29.68,271.97,6.05,42,12.07,0.57,0.141,269,87.46,18.78,60.31,0,0,1,0,1
33.36,162.22,7.29,452,10.62,43.13,0.036,831,77.15,95.72,30.41,0,1,0,1,2
36.93,187.51,6.95,21,10.07,39.83,0.05,951,94.82,86.56,98.37,0,1,1,1,1
24.07,56.07,6.06,52,5.68,17.65,0.124,96,54.44,89.02,64.5,1,0,0,1,1
22.1,100.04,8.03,378,2.68,18.7,0.189,140,82.79,76.01,20.46,0,0,1,1,2
35.03,297.11,6.98,318,7.18,49.02,0.014,668,98.17,19.28,59.3,1,1,0,0,2
24.75,174.65,6.61,176,6.77,13.21,0.041,344,79.21,66.76,59.46,1,1,1,0,1
34.88,51.63,8.78,19,5.57,4.6,0.12,595,27.37,59.8,67.75,1,0,1,0,2
34.09,135.21,8.02,325,5.75,13.55,0.12,412,33.93,20.54,50.42,0,0,0,1,2
43.48,2.0,8.32,355,10.41,34.01,0.082,880,50.85,94.26,58.78,0,0,1,1,2
38.14,185.17,8.22,261,13.72,5.09,0.002,53,46.16,90.11,17.59,0,1,0,0,1
40.43,153.82,7.32,402,9.07,30.66,0.128,169,76.07,28.36,68.86,0,0,0,1,1
42.79,8.85,7.07,365,5.25,12.38,0.013,60,53.98,29.38,63.74,1,1,1,1,2
28.33,265.49,7.15,163,13.19,27.21,0.04,969,61.09,32.8,98.89,1,0,1,1,2
30.69,61.87,8.4,294,5.23,18.42,0.179,648,22.8,80.86,47.02,1,0,0,1,2
40.84,149.83,7.61,106,13.24,3.2,0.165,661,82.81,63.9,28.1,1,1,0,0,1
31.74,8.49,6.63,128,11.17,20.48,0.131,384,93.92,20.07,56.48,0,1,1,0,1
38.67,216.17,8.48,82,3.33,14.46,0.062,443,55.46,59.8,32.94,0,0,1,1,2
41.82,248.44,6.65,54,13.43,16.34,0.071,361,41.72,30.86,38.67,0,0,1,0,2
40.72,104.67,7.56,260,10.12,41.9,0.172,962,53.16,11.19,36.63,0,0,0,0,2
38.05,115.44,7.47,44,3.98,0.1,0.144,645,83.15,36.71,58.72,1,0,1,0,2
38.31,264.5,6.36,494,3.26,11.12,0.104,539,44.88,25.02,31.94,0,0,1,0,2
38.73,171.57,8.96,136,6.99,21.45,0.108,329,52.95,77.82,28.33,1,0,0,1,1
34.39,6.64,8.84,47,9.27,5.86,0.067,639,98.43,56.11,20.29,1,0,0,0,2
39.32,285.43,8.33,61,11.51,3.45,0.095,206,90.85,29.97,74.32,1,0,1,1,2
37.43,225.79,7.4,85,12.12,24.25,0.067,744,62.53,55.95,83.85,0,0,0,0,1
20.33,122.92,7.94,145,12.82,10.17,0.013,533,58.34,26.36,76.88,0,1,1,0,1
44.54,135.14,7.54,334,4.78,47.13,0.009,322,37.61,41.55,43.53,0,0,1,1,2
